"name","introduction","altname","pathogenic_site","department","population","symptom","inspect","complication","treatment","medication"
"口腔扁平苔藓","口腔扁平苔藓是一种影响皮肤和黏膜表面的炎性疾病，推测可能由自身反应性T淋巴细胞介导的对上皮基底细胞损害所致，临床和组织病理表现与移植物抗宿主反应极为相似。10%～50%的扁平苔藓患者出现口腔损害。","None","口","口腔科","所有人群","口腔粘膜弥漫充血,口腔黏膜溃疡,瘙痒,盘状红斑,丘疹","口腔内窥镜,皮损","口腔癌","药物治疗","复方樟脑乳膏,盐酸赛庚啶片,地奈德乳膏,详细"
"萎缩性鼻炎","萎缩性鼻炎（atrophic rhinitis）是一种发展缓慢的鼻腔萎缩性炎症，其特征为鼻腔粘膜、骨膜和骨质发生萎缩。严重而伴有典型恶臭者，称臭鼻症（ozena）。多始于青春期，女性较男性多见。","臭鼻症，鼻槁","鼻","耳鼻喉科","青壮年女性","鼻黏膜和鼻甲萎缩,鼻粘膜溃疡和萎缩,鼻臭症,鼻孔干疼,头痛","鼻中隔,鼻腔内镜","分泌性中耳炎,新生儿水肿","药物治疗、手术治疗","鼻炎康片,鼻炎通喷雾剂,结合雌激素乳膏,详细"
"口腔单纯性疱疹","单纯疱疹是由单纯疱疹病毒引起的皮肤和粘膜疾病。疱疹性口炎多见于婴幼儿，在高热、咽痛后出现口腔粘膜上成簇小水疱或溃疡或融合后形成的大溃疡，7～14天左右可自愈。唇疱疹 多见于成人。发病时可取疱液作病毒接种，或取疱基底涂片，或血液抗单纯疱疹病毒抗体效价升高则证实诊断。","原发型疱疹性口炎","口","口腔科","本病以6岁以下儿童较多见，...","咽痛,水肿,头痛,疱疹,脓疱","单纯疱疹病毒,涂片,血清单纯疱疹病毒抗体","口腔溃疡","手术治疗","金喉健喷雾剂,喉康散,施保利通片,详细"
"牙隐裂","又称不全牙裂或牙微裂。指牙冠表面的非生理性细小裂纹，常不易被发现。牙隐裂的裂纹常深入到牙本质结构，是引起牙痛的原因之一。由于临床上比较多见，而裂纹又容易被忽略，故临床医师应给予足够的注意。隐裂牙发生于上颌磨牙最多，其次是下颌磨牙和上颌前磨牙。第一磨牙又明显多于第二磨牙，尤其近中腭尖更易发生，此乃上下颌咀嚼运动时主要的工作牙尖，承担着最大的合力，且与下颌磨牙中央窝有最合适的尖窝对位关系。上颌磨牙虽有斜嵴，由于磨耗不均的高陡牙尖和紧密的咬合关系，也易在合面的近中或远中窝沟处，两颊尖或两舌尖之间的沟裂处发生隐裂。","不全牙裂,牙微裂","口","口腔科","中老年人","牙疼,磨牙后垫红肿,假牙疼痛,牙疼","口腔内窥镜","牙龈炎","全冠修复","人工牛黄甲硝唑胶囊,人工牛黄甲硝唑胶囊,详细"
"剥脱性唇炎","剥脱性唇炎(cheilitis exfoliativa)是由化学物，日光或不明原因所致的口唇的慢性炎症。主要表现为红肿、渗出、结痂及脱屑，多见于下唇。","唇风,紧唇,瀋唇","皮肤","口腔科","20岁～35岁之间女性。","口唇干燥,结痂,血虚,口唇渗液,脱屑","皮损,皮肤涂片显微镜检查,细胞组织化学染色","口腔白斑","中医药物治疗、西医药物治疗","维生素B2注射液,甲泼尼龙片,醋酸泼尼松片,详细"
"颌骨骨折","颌骨骨折包括上颌骨骨折和下颌骨骨折，分为开放性骨折和闭合性骨折。根据致伤原因，又可分为火器性损伤和非火器性损伤两大类。","None","口","口腔科,骨科","成年人","颌骨错位,颌骨关节痛,粉碎性骨折,呼吸困难,咬合关系错乱","普通透视检查,颌面五官CT","口腔溃疡","手术治疗","伤科接骨片,独一味胶囊,骨康胶囊,详细"
"上颌窦癌","口腔颌面部的恶性肿瘤以癌最常见，在癌瘤中又以鳞状细胞癌为最多见。在我国，口腔颌面部鳞癌多发生于40－60岁之间，男性多于女性，以牙龈癌、舌癌、颊癌、腭癌及上颌窦癌常见。口腔癌在我国长江以北，占全身恶性肿瘤的1.45－5.6%，长江以南为1.75－5.18，在印度其在全身恶性肿瘤中高达40%以上。上颌窦癌以鳞状细胞癌为最常见，因其位于上颌窦内，早期无症状，不容易发现，当肿癌发展到一定程度出现较明显的症状时才被注意。因上颌窦癌的早期诊断常常是治疗能否成功的关键，所以临床医师应有高度的警惕性，应注意与牙周病、根尖病、慢性上颌窦炎等相鉴别。","颧疽","鼻","口腔科,肿瘤科","多见于40-50岁男性，80%发病患...","鼻泪管阻塞,骨质破坏,鼻衄,鼻衄,牙疼","头颅平片","恶寒发热,淋巴结炎,颈淋巴结炎","药物治疗、手术治疗","平消胶囊,转移因子口服溶液,上颌窦探针,详细"
"创伤性溃疡","创伤性溃疡是指口腔内残根残冠、牙齿的锐利边缘、错位牙、不良修复体等长期慢性机械损伤形成的溃疡；或由长期咬腮、咬颊、咬唇等自伤性不良习惯造成的溃疡。溃疡的形状与刺激因子完全契合。","None","口","口腔科,内科","无特殊发病群体","持续性疼痛,粘膜充血,淋巴结肿大,继发感染,伤口愈合发痒","口腔内窥镜","牙龈炎","药物治疗","金喉健喷雾剂,喉康散,苯扎氯铵贴,详细"
"腭裂","腭裂较为常见，可单独发生，也可并发唇裂。","None","口","口腔科","新生儿","裂腭,营养障碍,儿童骨缺损,呛咳","颌面五官CT,颞下颌关节造影","小儿言语和语言障碍","手术治疗、药物治疗","腭裂分离器,腭裂分离器,唇腭裂手术器械包,详细"
"咽峡炎","是常见的咽喉疾病。如果你的扁桃体增大很多，多半是因为溶血性链球菌作用的缘故。扁桃体炎多半是病毒引起(例如流感)，很少是真菌引起的。","None","咽喉","耳鼻喉科,呼吸内科,儿科","多见于3～10岁儿童","咽喉疼痛,舌苔黄,高热,恶寒,头痛","鼻咽部MRI,鼻咽部活组织检查","疱疹性咽峡炎,粒性白细胞缺乏性咽峡炎,奋森咽峡炎,白血病性咽峡炎","药物治疗","头孢氨苄胶囊,利巴韦林气雾剂,施保利通片,详细"
"复发性阿弗他性口腔炎","复发性阿弗他性口腔炎(recurrent aphthous stomatitis)又称复发性口疱，为口腔黏膜的疼痛性、复发性、单发或多发性小溃疡。一般7～10天可自愈。本病与中医“口疮”、“舌疮”相似。如《诸病源候论》口舌疮候记载：“肺腑热盛，热乘心脾，气冲于口与舌，故令口舌生疮也”。又如《外科证治全书》口疳记载：“有经年不愈者，有时愈时发者，皆因素食肥甘所致，食肥多热，食甘满中，其气上溢，生疳”。","复发性口疮性口炎,复发性口疱,舌疮","口","口腔科","所有人","顽固性口腔溃疡,口腔黏膜溃疡,口腔血泡,食欲不振,溃疡","口腔内窥镜,维生素B2","口臭,便秘",,"口炎清颗粒,盐酸左旋咪唑搽剂,四维他胶囊,详细"
"颌骨造釉细胞瘤","造釉细胞瘤是最常见的颌骨牙源性上皮来源肿瘤，约占该类肿瘤的80%。造釉细胞瘤为良性但具有局部侵袭性的多形性肿瘤，其组织来源包括造釉器或牙板上皮、牙源性囊肿的上皮衬里、口腔黏膜上皮基底层。按照世界卫生组织及国内的常用分类，通常可将造釉细胞瘤分为五种类型，即：滤泡型、丛状型、颗粒细胞型、鳞状化生型和基底细胞型。","造釉细胞瘤","口","口腔科,肿瘤科","所有人群","鼻塞,鼻泪管阻塞,咬合关系错乱,生长缓慢,面部畸形","四肢的骨和关节平片,骨关节及软组织CT","None","手术治疗、药物治疗","复方斑蝥胶囊,抗癌平丸,详细"
"涎石病","涎腺导管或腺体内形成结石并引起一系列症状及病理变化时，称为涎石病，临床主要表现为阻塞症状，涎腺肿大。 本病不多见，中年人发病率高，男性发病率高。颌下腺涎石最为常见，腮腺次之，导管内的涎石较腮体内的涎石为多，大多以慢性炎症表现。少数病例可伴有胆道或尿路结石。","None","口","口腔科,内分泌科","本病不多见，中年人、男性发...","胀痛,发炎,脓性分泌物,颌下腺肿大","涎腺B超声","胆结石","药物、手术治疗","消炎片,对乙酰氨基酚片,详细"
"急性颌骨骨髓炎","颌骨骨髓炎可分为化脓性、特异性、放射性等几种。临床上以化脓性颌骨骨髓炎最为多见。","None","口","口腔科","儿童","牙龈痛,消瘦,牙龈肿胀,牙齿松动和脱落,衰弱","WBC,普通透视检查","口腔溃疡","西药治疗","磷霉素钙胶囊,替硝唑片,盐酸米诺环素胶囊,详细"
"口腔颌面部皮样、表皮样囊肿","皮样囊肿或表皮样囊肿为胚胎发育时期遗留于组织中的上皮发展形成的囊肿：后者也可由于损伤、手术使上皮细胞植入而形成，皮样囊肿囊壁较厚，有皮肤及皮肤附件（如汗腺、毛囊等）组成，囊腔内有脱落的上皮细胞、皮脂腺、汗腺和毛发等结构。","None","口","口腔科,外科","儿童及青年","囊肿,生长缓慢,齿龈肿胀,囊肿","皮肤病的物理检查,颌面部检查","口炎,口腔粘膜病",,"头孢泊肟酯片,盐酸米诺环素胶囊,详细"
