name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money,
慢性咽炎,梅核气,咽喉,成年人,无传染性,医保疾病,耳鼻喉科,耳、鼻、咽拭子细菌培养 血清EB病毒壳抗原IgA抗体 [详细],咽部充血 咽痛 咽部异物感 咽部慢性充血 吞咽障碍 [详细],急性喉炎 鼻窦炎 肺炎 支气管炎 气管炎 [详细],药物治疗 [详细],一清颗粒 穿心莲软胶囊 利咽灵片 [详细],10-30天,98%,市三甲医院约（500-1000元）,
中耳炎,,耳,所有人群,无传染性,医保疾病,耳鼻喉科,声阻抗 [详细],听力减退 耳痛 耳流脓 传导性耳鸣 传导性耳聋 [详细],气压创伤性中耳炎 分泌性中耳炎 粘连性中耳炎 急性化脓性中耳炎 慢性化脓性中耳炎 [详细],西医药物治疗、中医药物治疗 [详细],阿莫西林片 头孢克洛干混悬... 罗红霉素胶囊 [详细],7天,95%,市三甲医院约（500—— 1000元）,
鼻炎,,鼻,所有人群,无传染性,医保疾病,耳鼻喉科,前鼻镜 鼻部检查 鼻腔检查 鼻内激发试验 健康体检 [详细],流鼻涕 鼻塞 嗅觉丧失 头痛 鼻痒 [详细],小儿过敏性鼻炎 慢性鼻炎 常年性鼻炎 血管运动性鼻炎 嗜酸细胞增多性非变态反应性鼻炎 [详细],药物治疗 [详细],鼻炎康片 康乐鼻炎片 千柏鼻炎片 [详细],1--2周(急性鼻炎1-2周，慢性需1-2年),90%(急性鼻炎治愈率90%，慢性鼻炎治愈率20-,市三甲医院约（1000 —— 3000元）,
气管炎,,气管,中老年人,无传染性,医保疾病,呼吸内科,痰液细菌涂片 胸透 WBC 痰液细菌培养 胸部平片 [详细],咳嗽 咳痰 吐白沫痰 痰呈粘液脓性 湿啰音 [详细],急性支气管炎 支气管炎 老年人慢性支气管炎 急性细支气管炎 小儿慢性支气管炎 [详细],药物治疗、中医治疗、针灸治疗、食疗 [详细],支气管炎片 复方气管炎片 支气管炎片 [详细],7-10天,95%,,
感冒,"急性鼻咽炎,急性上呼吸道感染,上感,卡他性鼻炎,普通感冒,伤风",鼻 咽喉,"所有人群,一般体弱的人经常发病",有传染性,非医保疾病,呼吸内科,细菌学检验 痰液细菌培养 药敏试验 血清卵泡刺激素 血清鳞状上皮细胞癌抗原 [详细],打喷嚏 发烧 咳嗽 怕冷 流鼻涕 [详细],中耳炎 心肌炎 鼻窦炎 支气管炎 气管炎 [详细],药物治疗 [详细],盐酸氨溴索片 感冒清热颗粒 复方感冒灵颗粒 [详细],7-14天,97%,,
SARS,"非典型肺炎,严重急性呼吸综合征,严重急性呼吸道症候群，非典，传染性非典型肺炎",肺 全身,所有人群,有传染性,非医保疾病,传染科 呼吸内科,胸部CT 胸部平片 T淋巴细胞亚群 血清免疫球蛋白G 肺炎支原体寒冷凝集试验 血清免疫球蛋白M 血清免疫球蛋白A 血清免疫球蛋白E 血清免疫球蛋白D 血清免疫球蛋白 [详细],持续性发热 呼吸困难 干咳 怕冷 高热 [详细],弥散性血管内凝血 消化道出血 [详细],,小儿热速清糖浆 盐酸乙胺丁醇片 克拉霉素干混悬... [详细],,,,
小儿哮喘,小儿支气管哮喘，儿童期哮喘，儿童哮喘,肺,儿童人群,无传染性,非医保疾病,儿科 呼吸内科,血清-氧化氮 激发试验 痰液细菌涂片 胸部平片 肺功能 [详细],支气管平滑肌痉挛 鼻翼扇动 低氧血症 呼吸音减弱 说话时字词不能连续 [详细],休克 慢性支气管炎 支气管扩张 [详细],药物治疗 [详细],孟鲁司特钠咀嚼... 盐酸异丙肾上腺... 复方茶碱麻黄碱... [详细],3个月,80%,,
心脏病,,心脏,所有人群,无传染性,医保疾病,心血管内科 心胸外科,多普勒超声心动图 心脏血管超声检查 心血管MRI 心电图 平衡法放射性核素心血管造影 [详细],心动过速 胸痛 发绀 窒息 心悸 [详细],暂无相关资料,药物治疗 [详细],氧 香丹注射液 盐酸多巴酚丁胺... [详细],1-3个月,30%,市三甲医院约（15000 —— 18000元）,
高血压,,,有高血压家族史，不良的生活习惯，缺乏运动的人群,非传染性疾病,,内科  心内科,血压,血压高 头晕,冠心病 高血压脑病,药物治疗 手术治疗...,苯磺酸氨氯地平胶囊 清脑降压胶囊,1-3个月,0.0001%(终身性疾病),根据不同医院，所选用药物不同，收费标准不一致，市三甲医院约（2000-10000元）,
败血症,,,无特定的人群,无传染性,,外科  感染科,异型中性粒细胞,持续性弛张热 脑膜炎,感染性休克 肝脓肿,药物治疗 支持治疗,盐酸左氧氟沙星胶囊 氨苄西林胶囊,7-14天,90%,根据不同医院，收费标准不一致，市三甲医院约（3000——6000元）,
中风,脑卒中，卒中,颅脑 血液血管,中老年人、男性多见,无传染性,非医保疾病,脑外科 血管外科,CT造影扫描 脑电图 脑脊液的化学检查 脑脊液动力学试验 [详细],偏瘫 感觉障碍 偏盲 恶心与呕吐 头痛 [详细],脑出血 脑疝 褥疮 意识障碍 营养不良 [详细],西药治疗、中药治疗、针灸治疗 [详细],血塞通泡腾片 血塞通分散片 灯盏花素片 [详细],,50%,,
乙肝,乙型肝炎,肝,所有人群，主要见于青少年，绝大多数为10~30岁,有传染性,非医保疾病,传染科 肝病,乙肝病毒学指标 凝血酶原时间 乙肝两对半 血清白蛋白与球蛋白比值 血清HBsAg免疫复合物 血清前S1蛋白 血清前S2蛋白 血清抗前S2蛋白 血清免疫球蛋白M 血清乙肝表面抗体 [详细],转氨酶增高 肝肿大 乙肝表面抗原（HBsAg）阳性 乙肝e抗原（HBeAg）阳性 肝功能异常 [详细],肝性脑病 肝硬化 腹膜炎 消化道出血 肺炎 [详细],药物治疗、饮食疗法 [详细],恩替卡韦分散片 碧云砂乙肝颗粒 注射用盐酸精氨... [详细],3-6月,0.00%,市三甲医院约（3000 —— 8000元）;,
贫血,血虚,全身,所有人群，主要是女性，老年人,无传染性,医保疾病,血液科 营养科,血清内因子阻断抗体测试 异常红细胞形态 不稳定性血红蛋白试验 必需微量元素 必需氨基酸 [详细],乏力 皮肤苍白 食欲减退 结膜变浅或变苍白 口唇苍白 [详细],脑出血 痛风 神经炎 心力衰竭 [详细],药物治疗、饮食疗法 [详细],富马酸亚铁咀嚼... 富马酸亚铁胶囊 维生素B12片 [详细],1--6个月,60--80%,市三甲医院约（2000 —— 5000元）,
